№;Номер детали;Дубл.;Наименование;Цена закуп (руб, ю, тг);Цена закуп (тг);Ед. измерения;Цена;Остаток;Цена по которой продано;Продано;Купить;Заказ;Счет на оплату ;Итого:;артикул;минимальный остаток;максимальный остаток
;;;;;;;;;;;;;;7664758;;;
1;;;А;;;;;;;;;;;;;;
2;2190-1164010;;Адсорбер 1118, 2190;500;;шт;3800;0;;;;;;0;114959;;
3;2112-1164010-12;;Адсорбер 2110;450;;шт;3300;1;;;;;;3300;;;
4;2170-1164010;;Адсорбер 2170;470;1730;шт;3300;0;;;;;;0;114961;;
5;2101-2915402-06СААЗ;;Амортизатор 01 задний;;1726;шт;2100;13;;;;;;27300;455;;
6;2101-2905402-06СААЗ;;Амортизатор 01 передний;225;1741;шт;2100;9;;;;;;18900;437;;
7;2108-2915004К;*;Амортизатор 09 задний ;;2684;шт;3250;2;;;;;;6500;; ;
8;2108-2905402/03К;*;Амортизатор 09 передний ;115;4133;шт;5500;2;;;;;;11000;;;
9;2108-2905003;;Амортизатор 09 передний Белмаг левый;;3857;шт;6000;1;;;;;;6000;116673;;
10;2108-2905002;;Амортизатор 09 передний Белмаг правый;;3857;шт;6000;1;;;;;;6000;116672;;
11;2108-2905403-03;;Амортизатор 09 передний левый;5634;6589;шт;8000;1;;;;;;8000;1396;;
12;2108-2905402-03;;Амортизатор 09 передний правый;5634;6589;шт;8000;1;;;;;;8000;1395;;
13;2108-2915004Б;;Амортизатор 2108 задний Белмаг;;3456;шт;4200;0;;;;;;0;116668;;
14;2110-2915004;;Амортизатор 2110 задний Белмаг;;3476;шт;4200;4;;;;;;16800;116669;;
15;2110-2905003;;Амортизатор 2110 передний Белмаг левый;;5753;шт;6800;2;;;;;;13600;116670;;
16;2110-2905002;;Амортизатор 2110 передний Белмаг правый;;5753;шт;6800;2;;;;;;13600;116671;;
17;2110-2905403-03;;Амортизатор 2110 передний левый;5361;6719;шт;8000;1;;;;;;8000;1795;;
18;2110-2905402-03;;Амортизатор 2110 передний правый;5361;6590;шт;8000;1;;;;;;8000;1796;;
19;2190-2905403;;Амортизатор Гранта передний левый;;7803;шт;9300;0;;;;;;0;116687;;
20;2190-2905402;;Амортизатор Гранта передний правый;;7803;шт;9300;0;;;;;;0;116686;;
21;2190-2905003;;Амортизатор Гранта передний левый Белмаг;;6540;шт;8000;1;;;;;;8000;ф3096;;
22;2190-2905002;;Амортизатор Гранта передний правый Белмаг;;6540;шт;8000;1;;;;;;8000;ф3097;;
23;11198-2905003;;Амортизатор Калина передний газо-масляный левый;;6462;шт;7800;0;;;;;;0;68349;;
24;11198-2905002;;Амортизатор Калина передний газо-масляный правый;;6462;шт;7800;0;;;;;;0;68350;;
25;1119-2905003-03;;Амортизатор Калина передний левый;2100;5983;шт;7500;0;;;;;;0;;;
26;1119-2905002-03;;Амортизатор Калина передний правый;2100;5983;шт;7500;0;;;;;;0;69031;;
27;;*;Амортизатор передний 2110 ;115;;шт;5500;0;;;;;;0;69032;;
28;2170-2905403-03;;Амортизатор Приора передний левый;2500;8624;шт;10300;1;;;;;;10300;;;
29;2170-2905402-03;;Амортизатор Приора передний правый;2500;8624;шт;10300;0;;;;;;0;;;
30;2170-2905003;;Амортизатор Приора передний левый Белмаг;;6668;шт;8000;1;;;;;;8000;;;
31;2170-2905002;;Амортизатор Приора передний правый Белмаг;;6668;шт;8000;1;;;;;;8000;;;
32;2170-2905403-03К;*;Амортизатор Приора передний левый Truckman;;5227;шт;6500;1;;;;;;6500;66816;;
33;2170-2905402-03К;*;Амортизатор Приора передний правый Truckman;;5227;шт;6500;1;;;;;;6500;1980;;
34;2101-2905402-06К;*;Амортизатор передний 01;;905;шт;1200;0;;;;;;0;1973;;
35;2101-2915402-06К;*;Амортизатор задний 01;33;905;шт;1200;0;;;;;;0;118695;;
36;1118-2915402-20;;Амортизатор 2110 задний  ;600;3867;шт;4700;2;;;;;;9400;118696;;
37;2121-2915402-03;;Амортизатор 213 задний  ;265;1747;шт;2100;6;;;;;;12600;1406;;
38;2121-2905402-03;;Амортизатор 213 передний;265;1741;шт;2100;12;;;;;;25200;6707;;
39;2121-2915006;;Амортизатор 213 задний Белмаг;;1222;шт;2000;12;;;;;;24000;6708;;
40;2121-2905004;;Амортизатор 213 передний Белмаг;;1222;шт;2000;17;;;;;;34000;120332;;
41;2108-2915402-10;;Амортизатор 2108 задний;570;3797;шт;4500;2;;;;;;9000;120333;;
42;2123-2915402-03;;Амортизатор Шеви задний;410;2754;шт;3300;2;;;;;;6600;;;
43;2123-2905402-03;;Амортизатор Шеви передний;410;2754;шт;3300;4;;;;;;13200;600553;;
44;2123-2915402;;Амортизатор Шеви задний Белмаг;;1619;шт;2500;5;;;;;;12500;600081;;
