№;Номер детали;Дубл.;Наименование;Цена закуп (руб, ю, тг);Цена закуп (тг);Ед. измерения;Цена;Остаток;Цена по которой продано;Продано;Купить;Заказ;Счет на оплату ;Итого:;артикул;минимальный остаток;максимальный остаток
;;;;;;;;;;;;;;575860;;;
1;;;А;;;;;;;;;;;;;;
2;RW6100;;Автохим-RW Антигравий серый 450мл;;573;шт;800;2;;;;;;1600;ф5388;;
3;RW2008;;Автохим-RW Антидождь 200мл;;398;шт;600;2;;;;;;1200;ф5396;;
4;RW2009;;Автохим-RW Антизапотеватель 200мл;;231;шт;400;2;;;;;;800;ф5393;;
5;RW6120;;Автохим-RW Антикоррозийное гальваническое покрытие с цинком 450мл;;610;шт;800;2;;;;;;1600;ф5395;;
6;RW6087;;Автохим-RW Быстрый Старт 400мл аэрозоль;;559;шт;800;2;;;;;;1600;67448;;
7;RW3014;;Автохим-RW Герметик масляной системы 300мл;;359;шт;600;3;;;;;;1800;у9269; ;
8;RW3029;;Автохим-RW Герметик системы охлаждения 300мл;;294;шт;500;5;;;;;;2500;ф5403;;
9;RW6086;;Автохим-RW Жидкий ключ аэрозоль 400мл;;659;шт;900;3;;;;;;2700;у9271;;
10;RW5056;;Автохим-RW Мовиль консервант полостей 520мл;;480;шт;700;3;;;;;;2100;ч4054;;
11;RW6123;;Автохим-RW Нейтрализатор запахов аэрозоль 300мл;;441;шт;700;2;;;;;;1400;у9260;;
12;RW6080;;Автохим-RW Очиститель двигателя наружный 650мл;;780;шт;1000;4;;;;;;4000;у9272;;
13;RW1501;;Автохим-RW Очиститель инжектора 150мл;;239;шт;400;2;;;;;;800;ц3281;;
14;RW3018;;Автохим-RW Очиститель инжектора 300мл;;292;шт;500;5;;;;;;2500;у9273;;
15;RW1502;;Автохим-RW Очиститель карбюратор бак 150мл;;239;шт;400;2;;;;;;800;121345;;
16;RW3017;;Автохим-RW Очиститель карбюратора 300мл;;292;шт;500;5;;;;;;2500;у9274;;
17;RW6081;;Автохим-RW Очиститель карбюратора и дроссеоя 450мл аэрозоль;;537;шт;700;2;;;;;;1400;у9275;;
18;RW2036;;Автохим-RW Очиститель колесных дисков 200мл;;208;шт;350;4;;;;;;1400;121349;;
19;RW6122;;Автохим-RW Очиститель кондиционера аэрозоль 300мл;;495;шт;700;1;;;;;;700;у9276;;
20;RW6089;;Автохим-RW Очиститель кузова от насекомых и гудрона аэрозоль 450мл;;616;шт;800;3;;;;;;2400;у9262;;
21;RW6083;;Автохим-RW Очиститель обивки салона 650мл;;633;шт;800;4;;;;;;3200;ф5394;;
22;RW2006;;Автохим-RW Очиститель салона велюр 200мл;;263;шт;400;2;;;;;;800;121348;;
23;RW6091;;Автохим-RW Очиститель салона велюр 650мл;;599;шт;800;5;;;;;;4000;у9261;;
24;RW6088;;Автохим-RW Очиститель стекол аэрозоль 500мл;;483;шт;700;1;;;;;;700;у9263;;
25;RW3019;;Автохим-RW Очиститель топливной системы 300мл;;284;шт;500;2;;;;;;1000;у9277;;
26;RW2539;;Автохим-RW Полироль для пластика 250мл;;720;шт;1000;5;;;;;;5000;121352;;
27;RW2501;;Автохим-RW Полироль с воском 250мл;;334;шт;500;5;;;;;;2500;121350;;
28;RW2502;;Автохим-RW Полироль с тефлоном 250мл;;530;шт;700;3;;;;;;2100;121351;;
29;RW6082;;Автохим-RW Полироль торпеды 650мл;;727;шт;1000;1;;;;;;1000;121357;;
30;RW1046;;Автохим-RW Преобразователь ржавчины ;;552;шт;800;2;;;;;;1600;у9264;;
31;RW0362;;Автохим-RW Преобразователь ржавчины 30мл блистер;;274;шт;400;3;;;;;;1200;у9265;;
32;RW3028;;Автохим-RW Присадка в масло противодымная 300мл;;593;шт;800;5;;;;;;4000;у9270;;
33;RW3012;;Автохим-RW Промывка ДВС 300мл;;276;шт;400;5;;;;;;2000;у9278;;
