№;Номер;Наименование;Цена руб (Бадин);Цена тг (Астана);Ед. измерения;Цена;Остаток;Продано;Купить;Заявка;Заказ;Цена общая;Цена + 20%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;3500290;Итого;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Б;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;99999111727182;Багажник ВАЗ 1117 универсал алюмин дуга;;6263;кт;14000;0;;;;;0;16800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;багажник;Багажник ВАЗ-1118-2190 (реечный);;2787;кт;5000;2;;;;;10000;6000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;багажник-01;Багажник ВАЗ 2101-2107, Москвич (реечный);;2238;шт;4000;0;;;;;0;4800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;багажник-213;Багажник ВАЗ 21213, ГАЗ (реечный);;2238;шт;4000;2;;;;;8000;4800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;2170 (реечный);Багажник ВАЗ 2170 (реечный);;3865;кт;5500;0;;;;;0;6600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;99999217037182;Багажник ВАЗ 2171 универсал (аллюминевая дуга);;5687;кт;7500;2;;;;;15000;9000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;99999219027182;Багажник ВАЗ 2190 (аллюм дуга 20х30);;17041;кт;21000;0;;;;;0;25200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;99999901127182;Багажник ВАЗ Ларгус (алюминиевая дуга 20х30);;16877;кт;20000;0;;;;;0;24000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;99999901227182;Багажник ВАЗ Ларгус (алюминиевая дуга 20х30) под реллинги;;17001;кт;21000;1;;;;;21000;25200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1118-280414200;Балка бампера 1118 задн пластик (усилитель);;1857;шт;3000;0;;;;;0;3600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1118-2803132-70;Балка бампера 1118 пер пластик (усилитель);;3295;шт;4500;0;;;;;0;5400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;2108-2904400-87;Балка бампера 2108 пер. АвтоВаз Спорт;;7276;шт;9500;0;;;;;0;11400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;2108-2803132-20;Балка бампера 2108 (железная);;736;шт;1000;3;;;;;3000;1200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;2113-2804142;Балка бампера 2114 задн.;;2498;шт;3500;2;;;;;7000;4200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
