№;Номер детали;Дубл.;Наименование;Цена закуп (руб, ю, тг);Цена закуп (тг);Ед. измерения;Цена;Остаток;Цена по которой продано;Продано;Купить;Заказ;Счет на оплату ;Итого:;артикул;минимальный остаток;максимальный остаток
;;;;;;;;;;;;;;2354200;;;
1;;;А;;;;;;;;;;;;;;
2;562105043R;;Амортизатор задний Дастер Asam;;7382;шт;10000;2;;;;;;20000;600877;;
3;;;Б;;;;;0;;;;;;0;;;
4;8200740830;;Балка бампера пер Сандеро Тайвань;;8141;шт;11000;1;;;;;;11000;600846;;
5;850220033R;;Бампер задний Дастер Norden;;17369;шт;22600;1;;;;;;22600;600656;;
6;8200735456;;Бампер задний Сандеро Тайвань;;12144;шт;16000;1;;;;;;16000;600840;;
7;6001546776;;Бампер задний Логан 04-09;;6916;шт;9 500;1;;;;;;9500;600596;;
8;850224049R;;Бампер задний Логан с 2010;;12516;шт;16 500;1;;;;;;16500;600698;;
9;620220025R; ;Бампер передний Дастер без противотуманок Api;;20185;шт;26500;1;;;;;;26500;600701;;
10;620220030R;;Бампер передний Дастер с противотуманками Api;;18981;шт;25000;1;;;;;;25000;600702;;
11;6001549907;;Бампер передний Логан до 2010;;7312;шт;10000;1;;;;;;10000;600597;;
12;8200785044;;Бампер передний Логан с 2010 с противотуманками;;18023;шт;23500;1;;;;;;23500;600700;;
13;8200785044EB;;Бампер передний Логан с 2010 с противотуманками Eurobump;;9885;шт;13000;1;;;;;;13000;600832;;
14;8200005185;;Бачок ГУР Ларгус Asam;;3661;шт;4800;1;;;;;;4800;601039;;
15;6001547546;;Бендикс Логан Asam;;2411;шт;3300;2;;;;;;6600;600968;;
16;172024388R;;Бензонасос голый Ларгус Francecar;;2917;шт;4500;2;;;;;;9000;600527;;
17;6001548525;;Блок предохранителей Логан Asam;;4737;шт;7000;1;;;;;;7000;600995;;
18;6001548677;;Болт двери бесшумный Логан Asam;;504;шт;700;8;;;;;;5600;600993;;
19;788121885R;;Брызговичок задний Дастер Francecar;;1368;кт;2000;2;;;;;;4000;600725;;
20;6001998164;;Брызговичок задний Логан Francecar;;810;кт;1500;2;;;;;;3000;600723;;
21;638537420R;;Брызговичок передний Дастер Francecar;;1368;кт;2000;2;;;;;;4000;600726;;
22;6001998163;;Брызговичок передний Логан Francecar;;794;кт;1500;2;;;;;;3000;600724;;
23;;;В;;;;;0;;;;;;0;;;
24;DEF00269;;Ветровичок Дастер накладные Ворон Глаз;;2608;кт;3500;1;;;;;;3500;121634;;
25;DEF00234;;Ветровичок Логан накладные Ворон Глаз;;1828;кт;2500;4;;;;;;10000;121635;;
26;8200825457;;Воздухозаборник левый Ларгус Renault;;3031;шт;4500;1;;;;;;4500;600464;;
27;6001546859;;Воздухозаборник правый Ларгус Renault;;3225;шт;4500;1;;;;;;4500;600463;;
28;7700732903;;Втулка рычага переключателя передач Логан Asam;;216;шт;400;2;;;;;;800;600939;;
29;546114237R;;Втулка стабилизатора переднего Дастер Sasic;;649;шт;1000;4;;;;;;4000;600892;;
30;6001547140;;Втулка стабилизатора переднего Ларгус Optimal;;396;шт;600;4;;;;;;2400;600141;;
31;;;Д;;;;;0;;;;;;0;;;
32;479101292R;;Датчик АБС передний Ларгус Reanult;;8426;шт;11000;1;;;;;;11000;600087;;
33;8200719629;;Датчик абсолютного давления Ларгус Francecar;;2370;шт;3200;1;;;;;;3200;601028;;
34;7700435692;;Датчик давления ГУР Ларгус Logem;;6265;шт;8200;1;;;;;;8200;600327;;
35;7701205751;;Датчик давления кондиционера Ларгус Renault;;6254;шт;8500;1;;;;;;8500;600450;;
36;8200671275;;Датчик давления масла Ларгус Fae;;1903;шт;3000;2;;;;;;6000;601130;;
37;8200680689;;Датчик детонации Ларгус Francecar;;2398;шт;3200;2;;;;;;6400;601029;;
38;8200209496;;Датчик заднего хода Ларгус Asam;;1311;шт;2000;2;;;;;;4000;600322;;
39;7700103504;;Датчик кислорода Renault;;4899;шт;7000;1;;;;;;7000;601034;;
40;8201071311;;Датчик кислорода №1 16кл Renault СтартВольт;;5634;шт;8000;1;;;;;;8000;601121;;
